,Wavelength,Flux
154,6501.540000000034,124.02731503993998
155,6501.550000000034,130.3164551405494
156,6501.560000000034,135.61974879446237
157,6501.570000000034,140.1245141973719
158,6501.5800000000345,143.97409021404408
159,6501.590000000035,147.28143595114614
160,6501.600000000035,150.13773945859322
161,6501.610000000035,152.6170189888188
162,6501.620000000035,154.77792048679623
163,6501.630000000036,156.6709407363376
164,6501.640000000036,158.33675421159185
165,6501.650000000036,159.80890884452964
166,6501.660000000036,161.1152359064384
167,6501.670000000036,162.27892009213699
168,6501.680000000037,163.3193591074514
169,6501.690000000037,164.25285119530452
170,6501.700000000037,165.09314961338774
171,6501.710000000037,165.85190822858394
172,6501.7200000000375,166.5390415143821
173,6501.730000000038,167.16301614828924
174,6501.740000000038,167.73108719012396
175,6501.750000000038,168.24949400295796
